"Campaign Name","Business Objective","Target Audience","Key Message","Channels","Budget","Timeline","Success Metrics","Constraints / Brand Notes"
"Quanta Reports Back-to-School - Win-Back","Reactivate 10% of customers dormant for 6+ months","digital-first audience","We've missed you - here's 25% off your next order.","Webinar, Account-Based Marketing, Paid Social (LinkedIn), Content Syndication","$88,000 incl. agency fees","Jul 16, 2026 - 2 week flight","Reactivation rate: baseline 2.5%, target 29.0%, within 90 days post-launch.","Tone: confident, helpful, never alarmist."
"Quanta Strategy - Awareness","Reach 6,670,020 unique impressions in target segment","Founders of pre-Series A startups, India","Meet Northbeam Consulting - a smarter way to scale faster.","PR, Webinar","TBD","Jul 9, 2026 - 10 week flight","Aided awareness lift: baseline 23%, target +12 pts, within 90 days post-launch.","No competitor logos or comparison claims in paid creative."
"NorthBridge Bank 2027 - Cross-sell Drive","Attach a second product to 44% of single-product customers","Small business banking customers with <$5M annual revenue, Brazil (EU coverage)","You already love Anchor National. Here's the perfect companion.","Display, Direct Mail","$46,000 (media only)","Apr 15, 2027 - 3 week flight","Attach rate: baseline 1.5%, target 2.4%, over the campaign flight.","Reg Z and UDAAP review required prior to launch. Hero creative must feature flagship product, not bundled SKUs. No animated GIFs in email; static hero only."
"Coastline Apparel v4 - Seasonal Promo","Drive $3,054,792 in incremental revenue during the promo window","digital-first audience","Our biggest Open Enrollment event yet.","social and email","$385,000","summer push","ROAS target 2.2","Margin floor 35%; exclude clearance SKUs from promotion. Use approved product photography only; lifestyle imagery requires brand review."
"Bundlr v7 - Seasonal Promo","Lift conversion rate by 2% vs. prior season baseline","Loyalty members aged 35-64 in France","Open Enrollment is here - shop the edit.","Display, Push Notifications, Email","$355,000","Apr 7, 2027 - 8 week flight","Incremental revenue: target $210,807, ROAS >= 5.5, over the campaign flight.","Suppress recent purchasers (last 14 days) to prevent post-purchase discount cannibalization. Tone: confident, helpful, never alarmist."
"Quanta Strategy - Cross-sell Drive","Attach a second product to 3% of single-product customers","HR leaders at companies with 500-5000 employees, Japan","One account, more value.","Content Syndication, Webinar, Email, Paid Social (LinkedIn)","$29,000 total","Jan 7, 2027 - 10 week flight","Attach rate: baseline 2.2%, target 17.3%, over 60 days.","Video assets capped at 15s for social, 30s for CTV."
"Pulse Primary v7 - Seasonal Promo","Increase engagement and pipeline","Patients overdue for annual wellness visit, Germany","Open Enrollment is here - shop the edit.","Direct Mail, Email, PR, Display, Paid Search","$400,000","Oct 2, 2026 - 4 week flight","Reduce CPA","FDA fair-balance language required for any branded therapy mention. Do not run alongside sitewide free-shipping promo without finance sign-off. Do not reference unannounced roadmap items. No animated GIFs in email; static hero only."
"Apex Legal LATAM - Cross-sell Drive","Attach a second product to 14% of single-product customers","General Counsel and CFOs at mid-market firms, Singapore","One account, more value.","online","TBD","Jun 28, 2026 - 3 week flight","Attach rate: baseline 1.7%, target 19.0%, over 60 days.","No animated GIFs in email; static hero only."
"ScholarPath Q3 2026 - Trial Conversion Push","Increase trial-to-paid conversion from 22% to 27%","millennials","Your trial ends soon. Unlock the full ScholarPath experience.","social","Pending finance approval","next quarter","Trial-to-paid conversion: baseline 3.2%, target 7.8%, by end of quarter.","Outcome claims (placement, salary) must include cohort source citation. Do not reference unannounced roadmap items."
"Northstar Mutual v7 - Loyalty Boost","Increase loyalty program enrollment by 4%","Homeowners aged 35-65 without umbrella coverage, Germany (EU coverage)","Members earn more. Join today.","Radio, Display, Email","$390,000","Nov 13, 2026 - 8 week flight","Program enrollment: target +5.2% vs. baseline, over the campaign flight.","All quotes must include 'subject to underwriting' language. Members-only pricing must remain materially better than public promo. Hero creative must feature flagship product, not bundled SKUs."
"Forge Accounting UK - Trial Conversion Push","Increase engagement and pipeline","millennials","Don't lose what you've built - upgrade today and keep your momentum.","email and ads","Limited budget","Nov 6, 2027 - 10 week flight","ROAS target 5.3","No major restrictions noted."
"Orbit Connect 2026 - Renewal Drive","Achieve 87% gross renewal rate","Postpaid customers approaching contract end, Singapore","Stay covered. Stay supported.","online","$38,000 total","soon","Reduce CPA","Hero creative must feature flagship product, not bundled SKUs."
"VivaHealth v7 - Win-Back","Reactivate 10% of customers dormant for 6+ months","prospects in target markets","Your spot is still here. Welcome back.","Direct Mail, Email, Display, Paid Search","TBD","Oct 27, 2026 - 6 week flight","Reactivation rate: baseline 1.9%, target 8.6%, by end of quarter.","TBD with Legal."
"Quanta Strategy 2027 - Lead Gen","Deliver 2,371 SQLs to the sales team","General Counsel and CFOs at mid-market firms, Nordics (EU coverage)","Get the playbook trusted by 500+ teams.","Content Syndication, PR, Webinar, Email, Paid Social (LinkedIn)","$100,000 excl. production","Jan 25, 2026 - 4 week flight","Lift engagement","Video assets capped at 15s for social, 30s for CTV."
"FutureStack Conference EU - Renewal Drive","Drive more revenue from this audience","Practitioners and decision-makers in target verticals, Mexico (EU coverage)","Don't lose access - renew before Mar 4.","Organic Social, PR, Paid Social (LinkedIn), Email","$83,000 (media only)","Nov 5, 2026 - 6 week flight","Improve CTR vs. last campaign","EU audiences: GDPR consent required; honor cookie banner state and DSAR within 30 days."
"Wayfare Winter - Seasonal Promo","Lift conversion rate by 16% vs. prior season baseline","high-value customers","Summer is here - shop the edit.","Display, Influencer, Paid Search, Paid Social (Meta), Email","$21,000 total","TBD","ROAS target 6.7","Suppress recently booked travelers to avoid post-purchase regret refunds. All copy must use inclusive language per brand DEI guidelines."
"AssureFirst ANZ - Lead Gen","Grow the business in the target segment","Homeowners aged 35-65 without umbrella coverage, EMEA","Find out what Truecover can do for your business.","social and email","$230,000 incl. agency fees","Feb 1, 2026 - 12 week flight","ROAS target 7.9","Follow brand guidelines."
"Wellpath DACH - Event Reg Push","Hit 12% RSVP-to-attend conversion","Patients overdue for annual wellness visit, Nordics","Save your seat at DevForge Live.","Display, PR","Not specified","Nov 10, 2026 - 3 week flight","Registrations: target 14,159; show-up rate >= 46%; over 60 days.","All medical claims must be reviewed by Medical Legal Review (MLR) before launch. Maintain accessibility: WCAG 2.1 AA for all digital assets. Subject lines under 50 characters; no emojis in B2B sends."
"Quanta Strategy Holiday - Renewal Drive","Drive more revenue from this audience","HR leaders at companies with 500-5000 employees, APAC","Don't lose access - renew before Mar 3.","Content Syndication, Email, Paid Social (LinkedIn)","$99,000 incl. agency fees","May 11, 2026 - 2 week flight","Gross renewal rate: baseline 81.8%, target 86.0%, within 90 days post-launch.","All copy must use inclusive language per brand DEI guidelines. No animated GIFs in email; static hero only."
"Nimbus Mobile v4 - Event Reg Push","Register 19,050 attendees","young professionals","GrowthSummit: where the industry connects.","Paid Search, Email, OOH, Display","$305,000","Nov 6, 2027 - 4 week flight","Baseline 1.4%, improve over time","CEO and executive quotes require Comms approval."
"VivaHealth LATAM - Seasonal Promo","Lift conversion rate by 4% vs. prior season baseline","Caregivers aged 40-65 of aging parents, Singapore","Winter is here - shop the edit.","email and ads","Use available Q-end funds","by end of fiscal year","Incremental revenue: target $1,120,155, ROAS >= 3.7, by end of quarter.","All medical claims must be reviewed by Medical Legal Review (MLR) before launch. Hero creative must feature flagship product, not bundled SKUs."
"Northstar Mutual v5 - Cross-sell Drive","Attach a second product to 4% of single-product customers","Small business owners without cyber liability, Germany","You already love AssureFirst. Here's the perfect companion.","Paid Search, Radio","Per-channel budget missing","Oct 1, 2026 - 10 week flight","Attach rate: baseline 1.8%, target 10.1%, by end of quarter.","All quotes must include 'subject to underwriting' language. All copy must use inclusive language per brand DEI guidelines."
"BoxBloom Q3 2027 - Launch","Drive 8% adoption of the new release among current customers","Loyalty members aged 18-70 in APAC","Introducing the next generation of ZestMart - faster, smarter, built for your team.","Push Notifications, Email, Affiliate, Display","Pending finance approval","by end of fiscal year","Adoption rate: baseline 1.3%, target 8.9%, measured over 60 days.","Do not run alongside sitewide free-shipping promo without finance sign-off."
"PageNest - Loyalty Boost","Increase loyalty program enrollment by 13%","Subscribers paused in last 90 days, Japan","Your loyalty, rewarded.","In-app, Email, Push Notifications","$160,000","Aug 6, 2026 - 4 week flight","Program enrollment: target +16.8% vs. baseline, over 60 days.","Coordinate with concurrent acquisition offers to avoid loyalty member dilution. Mobile-first creative required; desktop is secondary."
"Quanta Strategy v6 - Win-Back","Reactivate 12% of customers dormant for 6+ months","General Counsel and CFOs at mid-market firms, Nordics","We've missed you - here's 25% off your next order.","digital","$81,000 incl. agency fees","Apr 1, 2026 - 10 week flight","Reactivation rate: baseline 1.5%, target 13.6%, over the campaign flight.","Suppress recent purchasers (last 14 days) to prevent post-purchase discount cannibalization."
"AssureFirst Open Enrollment - Lead Gen","Deliver 2,364 SQLs to the sales team","our customer base","Find out what Beacon Life can do for your business.","Display, Email, Direct Mail, Radio","$450,000","Feb 19, 2027 - 4 week flight","SQL conversion: baseline 1.8%, target 11.3%, over 30 days.","State-specific disclosures required; suppress non-licensed states. All copy must use inclusive language per brand DEI guidelines."
"AuroraWear Q4 2026 - Win-Back","Reactivate 32% of customers dormant for 6+ months","Repeat customers with 3+ purchases in last 12 months, APAC","A lot has changed. Come back and see what's new.","Connected TV, Display","$325,000 total","post-launch window","Improve CTR vs. last campaign","Do not stack with member 20% offer; cap discount at 30% MSRP. Localization required for non-English markets; transcreation, not direct translation."
